"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.154147565E2,6.496200666E1,2.537882325E1,3.239416713E-1,1.920416175E0,3.201688843E2,4.748651484E0,3.949446476E0
1.164147432E2,6.496202171E1,2.537877966E1,9.542877134E-1,2.006675743E0,3.186125183E2,4.748651471E0,4.243189384E0
1.174147317E2,6.496203969E1,2.537873993E1,6.250122720E-1,2.074351495E0,3.186125183E2,4.748651475E0,4.294163755E0
1.184147198E2,6.496205886E1,2.537870960E1,7.687333860E-1,2.039938321E0,3.186125183E2,4.748651473E0,4.395602103E0
1.194147077E2,6.496207529E1,2.537867431E1,1.203446972E0,2.061953987E0,3.186125183E2,4.748651481E0,4.073947682E0
1.204146957E2,6.496208306E1,2.537863498E1,7.169463551E-1,2.023286010E0,3.186125183E2,4.748651494E0,3.834400552E0
1.214146836E2,6.496209530E1,2.537859354E1,1.109288780E0,2.066127536E0,3.184290161E2,4.748651497E0,3.650054058E0
1.224146706E2,6.496210332E1,2.537855369E1,6.253009290E-1,2.059541270E0,3.184290161E2,4.748651500E0,3.395333911E0
1.234146590E2,6.496211335E1,2.537853577E1,5.713013187E-2,1.927434297E0,3.181745605E2,4.748651488E0,3.815242148E0
1.244146476E2,6.496211786E1,2.537851563E1,-3.695021430E-1,1.722789139E0,3.181745605E2,4.748651481E0,4.029769181E0
1.254146346E2,6.496212463E1,2.537848019E1,3.344371011E-1,1.688337980E0,3.181745605E2,4.748651484E0,3.745315257E0
1.264146227E2,6.496213320E1,2.537845200E1,-3.441363806E-1,1.865657116E0,3.181745605E2,4.748651493E0,3.674094423E0
1.274146111E2,6.496214857E1,2.537842771E1,-1.562334721E0,2.006453252E0,3.181745605E2,4.748651475E0,3.708420335E0
1.284145989E2,6.496216879E1,2.537841979E1,-2.403047682E0,2.057907437E0,3.184353333E2,4.748651416E0,4.047985154E0
1.294145864E2,6.496217964E1,2.537838678E1,-2.002561230E0,2.171032703E0,3.184353333E2,4.748651466E0,3.537112733E0
1.304145744E2,6.496218488E1,2.537834982E1,-2.416768397E0,2.110444612E0,3.184353333E2,4.748651481E0,3.325190648E0
1.314145626E2,6.496218865E1,2.537830982E1,-2.803743625E0,2.015166215E0,3.145516663E2,4.748651479E0,3.494161179E0
1.324161056E2,6.496221171E1,2.537830629E1,-2.035405671E0,1.994036460E0,3.184353333E2,4.748651427E0,3.886156066E0
1.334161139E2,6.496222131E1,2.537827037E1,-1.895067120E0,1.900655206E0,3.187747192E2,4.748651419E0,4.261165470E0
1.344160993E2,6.496223175E1,2.537824927E1,-2.567099250E0,1.815552823E0,3.187747192E2,4.748651401E0,4.601056738E0
1.354161011E2,6.496225125E1,2.537822908E1,-1.010318404E0,1.996563309E0,3.187747192E2,4.748651349E0,4.954793574E0
1.364161036E2,6.496226241E1,2.537819019E1,-2.231104697E0,2.088170645E0,3.187747192E2,4.748651346E0,5.117660170E0
1.374160846E2,6.496226397E1,2.537814980E1,-2.578864498E0,1.986057994E0,3.187747192E2,4.748651402E0,4.935007880E0
1.384160867E2,6.496227494E1,2.537811137E1,-2.041324257E0,2.048947440E0,3.187747192E2,4.748651463E0,4.435715272E0
1.394160872E2,6.496229077E1,2.537808208E1,-1.304532675E0,2.060486969E0,3.187747192E2,4.748651462E0,4.186563431E0
1.404160682E2,6.496229223E1,2.537804371E1,-1.654787418E0,1.981536575E0,3.187747192E2,4.748651498E0,4.055365009E0
1.414160690E2,6.496229831E1,2.537801153E1,-2.119450686E0,1.904106835E0,3.190399780E2,4.748651479E0,4.127235542E0
1.424160681E2,6.496231852E1,2.537798606E1,-1.030632483E0,1.935431062E0,3.190399780E2,4.748651455E0,4.090221849E0
1.434160470E2,6.496234553E1,2.537799432E1,-5.481184721E-1,1.982384166E0,3.190399780E2,4.748651377E0,4.292113215E0
1.444160491E2,6.496235987E1,2.537797844E1,-8.318457603E-1,1.986917735E0,3.190399780E2,4.748651381E0,4.233056364E0
1.454160502E2,6.496237009E1,2.537794846E1,-9.865686810E-1,2.037857028E0,3.190917969E2,4.748651409E0,3.931203569E0
1.464160303E2,6.496238108E1,2.537790571E1,-6.315384107E-1,2.174530324E0,3.190917969E2,4.748651422E0,3.866693895E0
